sampled_at,year,month,day,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,,,,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,one_percent_weightloss_sd,five_percent_weightloss,five_percent_weightloss_sd,ten_percent_weightloss,ten_percent_weightloss_sd,crystallinity,crystallinity_sd,birefringence,birefringence_sd,diameter,diameter_sd,water_content_sd,water_content,supercontraction_sd,supercontraction
42927,2017,7,11,Japan,12,0.286,0.117,9.92,1.15,2.45,0.52,27.2,5.5,212,276,297,8,43.1,3.7,0.56,0.03,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42928,2017,7,12,Japan,11,0.233,0.082,20.3,5,3.33,0.74,12.7,2,,,,,43.2,7.9,0.48,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42564,2016,7,13,Japan,6,0.162,0.054,4.25,1.48,1.08,0.15,32.7,6.2,,,,,35.1,1.9,1.85,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42927,2017,7,11,Japan,5,0.157,0.034,9.52,1.63,1.53,0.07,19.2,4,205,275,295,,69.4,11.4,0.33,0.03,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43301,2018,7,20,Japan,,0.152,0.051,9.1,1.5,1.28,0.22,21.9,5.5,268,299,315,8,70,6.7,0.78,0.03,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42927,2017,7,11,Japan,5,0.144,0.023,13.6,2.53,2.06,0.22,15.8,2.3,232,287,305,24,46.7,5.7,0.44,0.03,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42928,2017,7,12,Japan,9,0.135,0.034,13.7,2.94,2.34,0.36,13,2.3,197,267,295,,51.4,6.3,0.45,0.03,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42206,2015,7,21,Japan,8,0.133,0.025,11.2,5,1.12,0.15,19.3,4.4,241,285,302,20,37.5,4.2,4.54,0.25,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42194,2015,7,9,Japan,,0.126,0.072,4.31,1.1,0.71,0.2,28.2,6.2,,,,24,35.8,10.2,1.36,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42565,2016,7,14,Japan,11,0.126,0.035,3.21,0.71,0.77,0.24,35.4,4.8,215,283,301,21,37,7.3,2.85,0.25,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42921,2017,7,5,Japan,5,0.117,0.025,9.54,2.81,1.37,0.18,14.6,1.8,208,276,296,,43.8,5.1,0.57,0.03,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42928,2017,7,12,Japan,11,0.117,0.026,10.1,0.52,1.89,0.24,17.9,1.4,,,,,68.7,10.4,0.36,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42206,2015,7,21,Japan,6,0.112,0.04,11.3,0.8,1.26,0.31,17.2,4.3,198,252,286,25,37,13,1.94,0.35,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42580,2016,7,29,Japan,9,0.109,0.012,6.2,0.45,0.78,0.18,34.7,3.8,,,,12,34.6,4.6,1.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42206,2015,7,21,Japan,8,0.104,0.027,12.1,2.8,0.94,0.09,17.3,4.5,233,277,295,16,31.9,14.8,3.21,0.89,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42565,2016,7,14,Japan,11,0.089,0.022,5.58,1.77,0.78,0.11,19,4,,,,20,38.8,4.5,1.77,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42194,2015,7,9,Japan,,0.086,0.018,8.16,5.2,1.02,0.17,18.7,5.4,258,295,311,21,38.3,10.4,2.09,0.36,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42198,2015,7,13,Japan,30,0.083,0.044,11.6,2.3,0.76,0.17,16.1,5.1,206,265,292,27,34.3,9.5,2.42,0.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42921,2017,7,5,Japan,10,0.081,0.024,6.2,1.01,1.14,0.13,15.1,1.9,,,,,48.4,7.3,0.41,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42927,2017,7,11,Japan,26,0.08,0.026,6.74,1.85,0.82,0.11,16.4,4.9,,,,,37.5,5.2,0.72,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42579,2016,7,28,Japan,,0.078,0.028,5.65,1.09,0.94,0.33,16.5,2.9,204,247,271,23,36.7,8.6,1.24,0.05,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42206,2015,7,21,Japan,29,0.076,0.014,13.4,3.9,0.85,0.08,15.4,2.9,206,252,280,,42.3,8.5,2.58,0.28,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42927,2017,7,11,Japan,8,0.076,0.051,6.25,2.06,0.96,0.33,14.7,3.8,217,278,292,,49.4,8.2,0.59,0.04,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42927,2017,7,11,Japan,4,0.066,0.019,6.65,0.86,0.77,0.12,13.5,5.8,,,,,37.5,0,0.4,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42564,2016,7,13,Japan,11,0.05,0.011,6.19,1.82,0.73,0.12,13.1,2.9,,,,19,57,17.9,0.87,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42579,2016,7,28,Japan,11,0.049,0.016,5.91,1.64,0.8,0.12,11.5,1.8,201,248,277,16,49.4,18.7,1.14,0.26,7,8.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
42927,2017,7,11,Japan,17,0.042,0.013,10.5,1.94,1.04,0.23,8.7,1.7,218,282,300,21,44.5,6.8,0.8,0.06,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42578,2016,7,27,Japan,5,0.005,0.001,1.29,0.78,0.79,0.22,28.2,7.8,,,,,18.9,3.3,2.08,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42579,2016,7,28,Japan,3,,,,,,,,,,,,14,35.2,8.8,0.64,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42206,2015,7,21,Japan,22,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42928,2017,7,12,Japan,4,,,,,,,,,,,,,55.6,8.5,0.41,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42956,2017,8,9,Japan,,0.232,0.037,18.6,3.11,2.31,0.23,21.7,4.6,218,290,307,9,59.8,8.7,0.32,0.01,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42586,2016,8,4,Japan,4,0.192,0.078,6.59,1.96,2.18,0.74,20.8,5,,,,12,77,11.9,0.58,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42969,2017,8,22,Japan,,0.168,0.078,8.54,1.64,1.09,0.11,30.5,12.5,201,263,290,16,42.9,3.7,1.52,0.04,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42242,2015,8,26,Japan,10,0.16,0.026,21.9,1.7,2.37,0.08,15,2.6,230,285,303,20,56.4,13.4,2.34,0.31,7.9,50.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
42970,2017,8,23,Japan,3,0.131,0.061,6.31,1.22,1.7,0.36,18.9,4.7,,,,,82.7,10.3,0.33,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42954,2017,8,7,Japan,5,0.102,0.04,10.4,1.82,1.63,0.18,13.2,2.3,,,,,60,12.2,0.36,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42954,2017,8,7,Japan,,0.098,0.035,9.16,0.68,0.68,0.1,21.2,4.4,222,283,302,28,45.4,3.6,1.27,0.02,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42231,2015,8,15,Japan,16,0.097,0.022,9.61,0.91,1.09,0.14,16.4,2,198,240,273,23,31.6,11.5,4.56,0.39,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
